Angeleger Strom I,Gemessende Spannung U,spezifischer Wiederstand rho,Gemessende Temperatur [Â°C],Messdaten
0.15,0.0033,0.0005,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,False
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.9,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
0.15,-0.0001,-0.0,29.8,True
